wave,varname,source
2001,Current State,ER17005
2003,Current State,ER21004
2005,Current State,ER25004
2007,Current State,ER36004
2009,Current State,ER42004
2011,Current State,ER47304
2013,Current State,ER53004
2015,Current State,ER60004
2017,Current State,ER66004
2019,Current State,ER72004
2021,Current State,ER78004
