wave,varname,source
2001,head_industry_code,ER17227
2003,head_industry_code,ER21145
2005,head_industry_code,ER25127
2007,head_industry_code,ER36132
2009,head_industry_code,ER42167
2011,head_industry_code,ER47479
2013,head_industry_code,ER53179
2015,head_industry_code,ER60194
2017,head_industry_code,ER66196
2019,head_industry_code,ER72196
2021,head_industry_code,ER78199
